,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
1174,Mazda,MX-30,White,Brown interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,107 kW,,0 g/km,No emission class,6 990 km,6/2021,1,Metallic,,,,,08/2024,Lithium-ion (Li-ion),36 kWh,No,,,,,,,,23599
1175,Opel,Corsa,Black,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,6 552 km,3/2023,,Metallic,1430,Used,Netherlands,,,Lithium-ion (Li-ion),50 kWh,No,,,30 min,,,,,34649
1176,BMW,420 Gran Coupé,Green,Beige interior,Part leather interior,Coupe,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,135 kW,1 995 ccm,154 g/km,No emission class,250 km,10/2023,,Metallic,,,,,,,,,,,,,,,,50749
1177,Volkswagen,Golf,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 598 ccm,108 g/km,Euro 6d-TEMP,39 258 km,9/2019,,Metallic,1335,Used,,,,,,,,,,,,,,23549
1178,Mercedes-Benz,Sprinter,Green,Black interior,Other interior material,Cargo VAN,4/5 doors,2,not published by the seller,Diesel,Automatic,4x2,120 kW,2 143 ccm,211 g/km,Euro 6,50 000 km,3/2019,1,,,,,,,,,,,,,,,,,33649
1179,MINI,Cooper,Black,Black interior,Cloth interior,Hatchback,2/3 doors,5,not published by the seller,Petrol,Manual,4x2,100 kW,1 499 ccm,117 g/km,Euro 6d,71 000 km,10/2019,,Metallic,1315,Used,Belgium,,,,,,,,,,,,,18599
1180,Audi,A1,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,110 g/km,Euro 6,24 690 km,10/2022,,,,,,,,,,,,,,,,,,24099
1181,Ford,Focus,Red,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,136 g/km,Euro 6d-TEMP,16 883 km,3/2022,1,,,,,,03/2025,,,,,,,,,,,27599
1182,MINI,Cooper,,Other interior color,Other interior material,Hatchback,2/3 doors,5,not published by the seller,Petrol,Manual,4x2,101 kW,1 499 ccm,128 g/km,No emission class,15 000 km,12/2022,,,,Used,,,,,,,,,,,,,,30249
1183,Ford,Transit Custom,Blue,Grey interior,Cloth interior,Cargo VAN,4/5 doors,,not published by the seller,Diesel,Automatic,4x2,110 kW,1 995 ccm,169 g/km,Euro 6d-TEMP,50 km,6/2023,,Metallic,,New,,,,,,,,,,,,,,80199
1184,Audi,A4,Blue,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,120 kW,1 968 ccm,108 g/km,Euro 6,18 554 km,3/2022,,Metallic,,Used,,12/2024,,,,,,,,,,,,35949
1185,MINI,Cooper Cabrio,Grey,Black interior,Full leather interior,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,100 kW,1 499 ccm,112 g/km,Euro 6d-TEMP,25 600 km,5/2020,1,Metallic,,,,,05/2025,,,,,,,,,,,26749
1186,Corvette,C8,Blue,Black interior,Alcantara interior,Cabriolet,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,354 kW,6 162 ccm,277 g/km,Euro 6d,15 km,6/2023,,Metallic,,New,,,,,,,,,,,,,,136449
1187,BMW,320,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,1 995 ccm,114 g/km,Euro 6,59 618 km,7/2020,2,,,,,,07/2023,,,,,,,,,,,35149
1188,Opel,Corsa,Silver,Grey interior,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,1 199 ccm,96 g/km,Euro 6,34 500 km,4/2022,1,Metallic,,,,,,,,,,,,,,,,15849
1189,Audi,A5,White,Black interior,Part leather interior,Sedans / saloons,2/3 doors,4,not published by the seller,Diesel,Automatic,4x2,140 kW,1 968 ccm,117 g/km,No emission class,68 399 km,2/2019,1,,,,,,,,,,,,,,,,,30499
1190,Opel,Crossland,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,112 g/km,Euro 6,14 km,7/2023,,Metallic,,,,,,,,,,,,,,,,26249
1191,Mercedes-Benz,GLA 200,Black,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,100 kW,2 143 ccm,141 g/km,Euro 6,112 121 km,1/2019,,Metallic,,Used,,12/2024,,,,,,,,,,,,21799
1192,Ford,Kuga,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,202 g/km,Euro 6d-TEMP,28 791 km,12/2019,2,,,,,,12/2024,,,,,,,,,,,21099
1193,Rolls-Royce,Cullinan,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,4,not published by the seller,Petrol,Automatic,4x4,420 kW,6 749 ccm,0 g/km,Euro 6d,9 940 km,8/2022,2,,,,,,08/2025,,,,,,,,,,,507849
1194,DS Automobiles,DS7 Crossback,White,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,1 499 ccm,105 g/km,Euro 6d,10 km,10/2023,,Metallic,1503,Used,,,,,,,,,,,,,,37349
1195,BMW,M235,White,Black interior,Full leather interior,Coupe,2/3 doors,5,not published by the seller,Petrol,Automatic,4x4,225 kW,1 998 ccm,162 g/km,Euro 6d-TEMP,39 756 km,9/2020,2,,,,,,,,,,,,,,,,,40549
1196,Volkswagen,Golf,Silver,Black interior,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,106 g/km,Euro 6,31 239 km,2/2020,,Metallic,,Used,,12/2024,,,,,,,,,,,,28349
1197,Audi,A3,Grey,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,111 g/km,Euro 6d-TEMP,16 180 km,10/2020,1,Metallic,,,,,,,,,,,,,,,,35149
1198,Toyota,Yaris,Red,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,85 kW,1 490 ccm,98 g/km,Euro 6d,9 140 km,4/2023,1,Metallic,,Used,,,04/2026,,,,,,,,,,,27799
1199,Land Rover,Range Rover,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,190 kW,2 993 ccm,183 g/km,Euro 6d,95 000 km,11/2018,,Metallic,2160,Used,,,,,,,,,,,,,,65699
1200,Renault,Twingo,White,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,54 kW,998 ccm,102 g/km,Euro 6d-TEMP,31 900 km,10/2020,1,,,,,,,,,,,,,,,,,12849
1201,Peugeot,2008,Black,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,1 199 ccm,111 g/km,Euro 6d,25 700 km,9/2019,2,Metallic,,,,,,,,,,,,,,,,18849
1202,BMW,X5,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,2 993 ccm,164 g/km,Euro 6d,43 059 km,3/2022,1,Metallic,,,,,,,,,,,,,,,,77449
1203,Hyundai,i20,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,63 kW,1 248 ccm,114 g/km,Euro 5,56 069 km,10/2013,2,,,,,,05/2025,,,,,,,,,,,7299
1204,Audi,RS3,Grey,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,294 kW,2 480 ccm,194 g/km,Euro 6d-TEMP,27 911 km,7/2019,,,,Used,Germany,,,,,,,,,,,,,45349
1205,Ford,Transit,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,9+,not published by the seller,Diesel,Manual,4x2,110 kW,1 998 ccm,188 g/km,Euro 6,10 km,9/2023,1,,,,,,,,,,,,,,,,,47799
1206,Toyota,Avensis,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,108 kW,1 798 ccm,139 g/km,Euro 6,157 000 km,5/2015,1,Metallic,,,,,04/2024,,,,,,,,,,,10799
1207,Opel,Zafira,Black,Black interior,Cloth interior,MPV,4/5 doors,8+,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,2 100 km,12/2022,,Metallic,1969,Used,Germany,,,,,,,,,,,,,45599
1208,Audi,SQ7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,320 kW,3 956 ccm,194 g/km,Euro 6,106 800 km,3/2020,1,Metallic,,,,,,,,,,,,,,,,77549
1209,Audi,A1,Black,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,119 g/km,Euro 6,40 000 km,4/2021,,,,,,,,,,,,,,,,,,23099
1210,Mazda,3,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 998 ccm,123 g/km,Euro 6d-TEMP,13 500 km,11/2022,1,,,,,,,,,,,,,,,,,29849
1211,Opel,Crossland,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,1 200 ccm,107 g/km,Euro 6d,38 300 km,10/2020,1,,,,,,,,,,,,,,,,,19849
1212,Skoda,Enyaq,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,150 kW,,0 g/km,No emission class,10 km,7/2023,,,1965,,Italy,,,Lithium-ion (Li-ion),82 kWh,No,,,,,,,,46999
1213,Mercedes-Benz,GLC 220,Red,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,145 kW,1 993 ccm,140 g/km,Euro 6d,9 262 km,12/2022,1,Metallic,,Used,,,,,,No,Mild hybrid,,,,,,,65799
1214,Audi,Q2,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,1 968 ccm,107 g/km,Euro 6,28 878 km,9/2022,,,,,,,,,,,,,,,,,,35549
1215,Skoda,Kamiq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,999 ccm,108 g/km,No emission class,15 208 km,10/2022,,Metallic,,Used,Germany,,,,,,,,,,,,,21899
1216,Volkswagen,Polo,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,999 ccm,109 g/km,Euro 6,40 476 km,5/2019,1,,,,,,,,,,,,,,,,,19249
1217,Citroen,C3,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,60 kW,1 199 ccm,100 g/km,Euro 6d,12 539 km,8/2022,1,Metallic,,,,,,,,,,,,,,,,17349
1218,Renault,Captur,Red,Beige interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 332 ccm,125 g/km,Euro 6,41 307 km,12/2019,1,,,Used,,12/2024,,,,,,,,,,,,21599
1219,Volkswagen,Polo,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,101 g/km,Euro 6d-TEMP,26 100 km,10/2020,,Metallic,1145,Used,,,,,,,,,,,,,,17949
1220,Mercedes-Benz,S 580,Black,Black interior,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,375 kW,2 999 ccm,16 g/km,Euro 6,17 873 km,4/2023,1,,,Demonstration car,,,,,,,,,,,,,,132399
1221,Land Rover,Discovery Sport,Grey,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,120 kW,1 997 ccm,140 g/km,Euro 6,39 021 km,7/2022,,Metallic,,,,,,,,,,,,,,,,50799
1222,Audi,A4,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,150 kW,1 968 ccm,123 g/km,No emission class,25 211 km,1/2023,1,Metallic,,Used,,,,,,,,,,,,,,45049
1223,Opel,Corsa,Black,,Cloth interior,Hatchback,,,not published by the seller,Electric,Automatic,4x2,100 kW,50 ccm,0 g/km,,33 000 km,10/2021,1,Metallic,,Used,Romania,,,,,,,,,,,,Yes,21499
1224,Toyota,Yaris,Silver,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,85 kW,1 490 ccm,98 g/km,Euro 6d-TEMP,16 107 km,9/2022,1,,,Used,,,,,,,,,,,,,,26599
1225,Mercedes-Benz,GLE 400,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,285 kW,1 999 ccm,0 g/km,Euro 6d,9 000 km,7/2023,,Metallic,2670,Used,,,,,,,,,,,,,,116699
1226,Skoda,Kamiq,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,999 ccm,116 g/km,Euro 6d-TEMP,25 096 km,10/2020,1,Metallic,,,,,,,,,,,,,,,,19199
1227,Peugeot,iOn,White,Other interior color,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Electric,Automatic,4x2,49 kW,,0 g/km,No emission class,8 990 km,9/2019,1,,,,,,,Lithium-ion (Li-ion),15 kWh,No,,9 h,30 min,,,,,11249
1228,Skoda,Superb,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,140 kW,1 968 ccm,118 g/km,Euro 6,84 619 km,10/2019,1,,,,,,,,,,,,,,,,,28499
1229,BMW,X3,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,215 kW,1 998 ccm,54 g/km,Euro 6,72 000 km,8/2020,,,,,,,07/2025,Lithium-ion (Li-ion),12 kWh,No,Plug-in hybrid,6 h,156 min,,,,,35199
1230,Mercedes-Benz,A 250,Black,Black interior,Part leather interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,160 kW,1 332 ccm,22 g/km,Euro 6d,10 269 km,10/2021,1,,,,,,,,,,,,,,,,,30799
1231,Ford,Mustang Mach-E,Blue,Other interior color,Full leather interior,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x4,358 kW,,0 g/km,No emission class,29 395 km,12/2021,,Metallic,,,,,12/2025,Lithium-ion (Li-ion),99 kWh,No,,8 h,45 min,,,,,57399
1232,Citroen,C4,,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,50 km,7/2023,,,1659,Used,Germany,,,,,,,,,,,,,36299
1233,Audi,A4,Grey,Black interior,Alcantara interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,185 kW,1 984 ccm,142 g/km,Euro 6,43 969 km,5/2017,1,Metallic,,,,,,,,,,,,,,,,30349
